S/N,statement,A1,A2,A3,target,source,text_origin
1,"Lẹ́yìn oúnjẹ, oúnjẹ lókàn. Èmi lókàn!",sarcastic,sarcastic,non-sarcastic,sarcastic,X,original
2,"A kò gbọ́dọ̀ purọ́, a kò gbọ́dọ̀ jale, Yorùbá dùn gan!",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
3,"Kò sí bí o bá ṣe ń jìyà tó, má ṣe béèrè ìrànlọ́wọ́ lọ́wọ́ ẹnikẹ́ni. Bó tilẹ̀ jẹ́ pé o lè kú nígbà sórí ìjìyà náà, kò sí ẹni tí yóò lè sọ pé òun ti ràn ọ́ lọ́wọ́ rí",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
4,Àsàsí kìí ran baby. Ẹ wí fún aláwo yin tó ní ki ẹ mú orúkọ wá,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,X,original
5,"Oṣólẹ̀ Twitter ti gbórí wọlé o, wọ́n ti ń bèèrè wípé kíni orúkọ wà àti orúkọ ìyá tó bí wa lọ́mọ",sarcastic,sarcastic,sarcastic,sarcastic,X,original
6,"Tí o bá ṣe ẹ̀ṣẹ̀ kan tí àwọn agbófinró sì ń wá ọ pẹ̀lú ẹ̀bùn tí a gbé lé ọ lórí, lọ kí o sì fi ara rẹ hàn ní àgọ́ ọlọ́pàá. Bó tilẹ̀ jẹ́ pé wọ́n lè fi ọ́ sẹ́wọ̀n, o lè gba ẹ̀bùn náà láti àgọ́ ọlọ́pàá.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
7,"Wọ́n ní àwọn kàn fẹ́ lo ọgbọ́n àrékérekè fún wa ni, ni mo ba kí wọn wípé adúpẹ́ tí kò jù báyẹn lọ. Ìyẹn ṣí dára ju jíjàwá lólè lọ",sarcastic,sarcastic,sarcastic,sarcastic,Facebook,original
8,"A tọrọ owó lọwọ yín, ẹ sì ní kí a wáa gba nílé, èwo ló wáá fa ẹ̀wọ̀n?",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,Facebook,original
9,Ọmọ náà pupa bíi tááyà ọkọ,sarcastic,sarcastic,sarcastic,sarcastic,Crowdsourcing,original
10,"Ìwọ lo gbọ́n jù nínú gbogbo ọmọ tí ìyá rẹ bí, ọlọ́pọlọ ẹja",sarcastic,sarcastic,sarcastic,sarcastic,Crowdsourcing,original
11,"Àìgbọ́fá là ń wòkè, ifá kan kòsí ní párá",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,Crowdsourcing,original
12,Ọ fẹ́ẹ́ mọ ibi tó yẹ kí o gbesí àbí?  O lè wáá gbe sími lórí,sarcastic,sarcastic,sarcastic,sarcastic,Crowdsourcing,original
13,Kò níí da fún ọmọ ìyá tí kò fẹ́ràn ara wọn,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,Facebook,original
14,"Ó bimí léèrè wípé eré wo ni ká wò, mo sì nì kó jẹ́ kí a wo wèrè",sarcastic,sarcastic,sarcastic,sarcastic,Facebook,original
15,"Má bẹ̀rù láti wà ní àtìmọ́lé, nítorí o lè pàdé olùrànlọ́wọ́ rẹ níbẹ̀, bó tilẹ̀ jẹ́ pé o máa jìyà nínú ẹ̀wọ̀n.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
16,Oò ṣe kúkú lọ gbé gbogbo ẹrù rẹ kí o ṣí mọ́rí kí o máa bọ̀ nílé ọkọ tèmi?,sarcastic,sarcastic,sarcastic,sarcastic,Facebook,original
17,"Tí o bá yá ẹnìkan lowó tí o kò sì mọ ibi tí ó wà mọ́, wá ẹnìkan tí ó sún mọ́ ọn kí o sì tún yá ìyẹn náà lówó, bó tilẹ̀ jẹ́ pé o lè má rí owó méjèèjì gbà",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
18,"Ọmọ yí gọ̀, ó fi ẹnu ọ ara",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,Crowdsourcing,original
19,Òṣèlú ilẹ̀ Nàìjíríà ló dára jù ní gbogbo àgbáyé!,sarcastic,sarcastic,sarcastic,sarcastic,Crowdsourcing,original
20,A nílo àwọn aṣojú tó kájú òṣùwọ̀n,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,Crowdsourcing,original
21,Ìwúrí ńlá ni fún mi pé ààrẹ ẹgbẹ́ ọmọ Yorùbá ni ìlú Faransé wá si pápákọ̀ òfúrufú láti wá gbé mi loni ni ìlu parisi lai fun wọn asiko tó tó,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
22,"Awakọ̀ kan wa ọkọ̀ wọ ààrin èrò níbi tí wọn tí ń ṣ'àjọ̀dún, ọ̀pọ̀ ẹ̀mí sùn",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
23,"Gbogbo ẹ̀ka ọrọ̀ ajé, ètò ìrìnnà, iléèwòsàn, àti àwọn ilé ìtajà ló ti dẹnukọlẹ lẹ́yìn tí iná lọ ní orílẹ̀èdè méjèéjì.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
24,Ṣé lóòtọ́ ni Gómìnà Adeleke ń gbèrò láti bẹ́ kìjà kúrò ní PDP lọ sí APC?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
25,Ṣé lóòótọ́ ni pé Naijiria ti di orílẹ̀èdè ẹlẹ́gbẹ́ òṣèlú kan?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
26,Kò ṣe é má gbọ̀ ọ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
27,"""Wọ́n fẹ́ pààyàn ni"" - BBC ṣe ìdánimọ̀ àwọn ẹ̀ṣọ́ aláàbò tó yìnbọn p'àwọn tó ṣèwọ́de tako owó orí tuntun ní Kenya",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
28,"Lẹ́yìn ìsìnkú Póòpù Francis, Ìjọ Kátólíìkì kéde ọjọ́ tí wọn yóò yàn póòpù tuntun",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
29,NDIC bẹ̀rẹ̀ sísan owó fún àwọn tó fowópamọ́ sí Heritage Bank to kógbáwọlé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
30,Ẹsẹ̀ ẹlẹ́sẹ̀ níí gbé òkú wọ isà,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,YouTube,original
31,FBI mú èèyàn 22 ní Naijiria fún ẹ̀sùn fífi àwòràn ìhòhò lu jìbìtì lórí ayélujára,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
32,Àjọ NAPTIP dóòlà ọmọ Naijiria mẹ́sàn-an tí wọ́n fẹ́ẹ́ tàn ṣòwò ẹrú lọ si Libya,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
33,"Ìbúgbàmù Iran gbẹ̀mí èèyàn méjìdínlógún, 800 míì farapa",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
34,"Oyinkan Abayomi: Ajàfẹ́tọ̀ọ́ ẹni tó dá ẹgbẹ́ òṣèlú obìnrin àkọ́kọ́ sílẹ̀, tó tún jà fún ètò ẹ̀kọ́, ìṣèlú àti òmìnira obìnrin",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
35,Bí ètò ìsìnkú Pope Francis yóò ṣe wáyé àti àwọn èèyàn tí yóò wà níbẹ̀,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
36,"NiMET dá ìyanṣẹ́lódì dúró, fún ìjọba ní gbèdéke láti dáhùn àwọn ìbéèrè wọn",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
37,Àwọn òrìṣà méje ìṣẹ̀mbáyé tó di ilẹ̀ gbogbo àgbáyé mú,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
38,"Alàgbà ni ọkọ mi ní ṣọ́ọ̀ṣì, wòólì ni mí fún ogún ọdún kí ń tó di Yeye Olokun - Omolara Fanimokun",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
39,Iléeṣẹ́ ológun bẹ̀rẹ̀ ìgbésẹ̀ ọ̀tun lóri ẹgbẹ́ agbébọn Mahmuda tó n ṣoro ní Kwara,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
40,"'Gbèsè ni mo fi tọ́ àwọn ìbejì tó gba First Class, tayọ jù lọ ní UI'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
41,"'A kàn ṣàdédé rí àwọn agbébọn tí wọ́n ṣíná ìbọn bolẹ̀, pa èèyàn mẹ́jọ, inú ìbẹ̀rù là ń gbé báyìí'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
42,"Ẹ fura o! Èèyàn 135,000 ló ní HIV l'Eko nìkan - Wo bí o ṣe lè dáàbò bo ara rẹ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
43,Báwo ni àwọn ohun èèlò ìkunjú tí ò ń lò ṣe burú sí?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
44,Ṣé lóòótọ́ ni pé ilé ejọ̀ ní kí wọ́n fi Simon Ekpa ránṣẹ́ sí Naijiria?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
45,"Ọwọ́ ọlọ́pàá tẹ àwọn tó ń fi èèyàn ṣòwò ẹrú ní Ibadan, dóòlà èèyàn 84",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
46,Wọ́n ti sin òkú Pope Francis - Ẹ wo bí ètò ìsìnkú nàá ṣe lọ,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
47,"Akọrin tàkasúfèé, Terry Apala, di èèrò ẹ̀wọ̀n fún ẹ̀sùn pé ó tàbùkù owó náírà",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
48,Ó sàn kí o dá ilémoṣú ju kí o máa tẹríba fọ́kùnrin lọ,sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
49,Wo ànfààní tó wà nínú jíjẹ́un làí kánjú,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
50,Bí o ṣe le lo Etí Erin (Aloe Vera) fún ìṣaralóge àti ìwòsàn àgọ́ ara,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
51,Ǹ jẹ́ ò ń fọ nǹkan ìmumi rẹ dáadáa bó ṣe yẹ?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
52,Ṣe ó ṣeéṣe kí wọ́n yan Póòpù tuntun láti Africa?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
53,"Láti ìbẹ̀rẹ̀ ni ọkọ mi ti lawọ́ sí mi, lèmi náà gbọdọ̀ ṣe jẹ́ ọmọ dáadáa - Shade Okoya",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
54,"'Ebi kọ́ ló mú kí àwọn ọmọ mi máa bá mi ṣiṣẹ́ fọga, kí ọjọ́ ọ̀la wọn le dára ni'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
55,'Mò n fi èdè Ìjẹ̀bú kọ́ àwọn akẹ́kọ̀ọ́ mi ní ìṣirò nítorí mo fẹ́ kó yé wọn dáàdáà',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
56,"Ìlú Igboho rèé, níbi tí ọba mẹ́ta ti ń ṣèlú, ta ni ojúlówó ọba láàrin wọn?",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
